Action;Custom label (SKU);Category ID;Category Name;Title;Subtitle;P:EAN;Start price;Quantity;Item photo URL;Condition ID;Condition description;Description;Format;Duration;Location;Country;Postal code;Shipping profile name;Return profile name;Payment profile name;Brand;Manufacturer;MPN;Model;Product type;Sold item name;Compatible brand;Compatible device;Compatible model number;Color;Material;Type;Unit quantity;Unit type;Item specifics
Add;TEST-011;;Chargeurs portables;Chargeur USB-C 61W MacBook compatible;;;39.90;1;;3000;Occasion;Adaptateur secteur USB-C 61W pour MacBook.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;MNF72;MNF72LL/A;Charger;Power Adapter;;;;;;Charger;1;Unité;Brand=Apple|MPN=MNF72|Type=Charger|Wattage=61W
Add;TEST-012;;SSD / stockages;SSD NVMe 512Go MacBook Pro A1989;;;79.00;1;;3000;Occasion;SSD NVMe 512 Go pour MacBook Pro.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;655-01036;A1989;SSD;Solid State Drive;Apple;MacBook Pro 13;A1989;;;SSD;1;Unité;Brand=Apple|Model=A1989|Type=SSD|Capacity=512GB
Add;TEST-013;;Cartes Wi-Fi;Carte WiFi Bluetooth MacBook Air A1466;;;18.00;1;;3000;Occasion;Carte WiFi/Bluetooth Broadcom d'origine.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;607-8969;A1466;WiFi Card;WiFi Card;Apple;MacBook Air 13;A1466;;;WiFi Card;1;Unité;Brand=Apple|Model=A1466|Type=WiFi Card
Add;TEST-014;;Coques / boîtiers;Boîtier inférieur MacBook Pro 13 A2251;;;49.00;1;;3000;Occasion;Coque inférieure aluminium gris sidéral.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;661-17529;A2251;Case;Bottom Case;Apple;MacBook Pro 13;A2251;Gris sidéral;Aluminium;Case;1;Unité;Brand=Apple|Model=A2251|Type=Case|Color=Space Gray
Add;TEST-015;;Dissipateurs thermiques;Dissipateur thermique MacBook Pro 16 A2141;;;27.00;1;;3000;Occasion;Dissipateur thermique CPU/GPU.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;923-04200;A2141;Heatsink;Heatsink;Apple;MacBook Pro 16;A2141;;Cuivre;Heatsink;1;Unité;Brand=Apple|Model=A2141|Type=Heatsink|Material=Copper
Add;TEST-016;;Cartes mères pour ordinateurs portables;Carte mère MacBook Pro 13 A2159 820-01646-A;;;149.00;1;;3000;Occasion;Carte mère référence 820-01646-A / 01646-A.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;Apple;01646-A;A2159;Logic Board;Logic Board;Apple;MacBook Pro 13;A2159;Vert;;Logic Board;1;Unité;Brand=Apple|MPN=01646-A|Model=A2159|Type=Logic Board|Color=Green
Add;TEST-017;;Écrans LCD pour portables;Écran complet MacBook Pro 14 A2442;;;299.00;1;;3000;Occasion;Module écran complet Liquid Retina XDR.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;661-25828;A2442;Screen Replacement;Screen Replacement;Apple;MacBook Pro 14;A2442;;;Display Assembly;1;Unité;Brand=Apple|Model=A2442|Type=Screen Replacement
Add;TEST-018;;Batteries pour portables;Batterie MacBook Air M2 A2681;;;69.00;1;;3000;Occasion;Batterie pour MacBook Air 15 M2.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;A2681-BAT;A2681;Battery;Battery;Apple;MacBook Air 15;A2681;;;Battery;1;Unité;Brand=Apple|Model=A2681|Type=Battery
Add;TEST-019;;Nappes flex;Nappe écran MAINFPC_V3.1 MacBook Pro 15;;;32.00;1;;3000;Occasion;Nappe vidéo référence MAINFPC_V3.1.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;MAINFPC_V3.1;A1990;Flex Cable;Display Flex Cable;Apple;MacBook Pro 15;A1990;;;Flex Cable;1;Unité;Brand=Apple|MPN=MAINFPC_V3.1|Type=Flex Cable
Add;TEST-020;;Connecteurs audio;Connecteur audio jack MacBook Pro M6100;;;16.50;1;;3000;Occasion;Connecteur jack audio 3.5mm avec nappe.;FixedPrice;GTC;Paris;FR;75001;Standard;30 jours;eBay Payments;Apple;;M6100;A1502;Connector;Audio Jack;Apple;MacBook Pro 13;A1502;;;Audio Connector;1;Unité;Brand=Apple|MPN=M6100|Type=Connector
